 Support Controller design:   FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 4 of 8, step 21 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 4 of 8, step 22 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 4 of 8, step 23 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 4 of 8, step 24 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 4 of 8, step 25 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 4 of 8, step 26 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 4 of 8, step 27 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 4 of 8, step 28 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 4 of 8, step 29 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 4 of 8, step 30 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 4 of 8, step 31 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 4 of 8, step 32 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 4 of 8, step 33 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 4 of 8, step 34 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 4 of 8, step 35 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 4 of 8, step 36 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 4 of 8, step 37 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 4 of 8, step 38 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 4 of 8, step 39 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 4 of 8, step 40 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 4 of 8, step 41 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 4 of 8, step 42 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 4 of 8, step 43 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 4 of 8, step 44 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 4 of 8, step 45 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
